Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Age,km/year,Brand,Model
Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,175000.0,14,5142.857142857143,Maruti,Wagon R LXI CNG
Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,1250000.0,9,4555.555555555556,Hyundai,Creta 1.6 CRDi SX Option
Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,450000.0,13,3538.4615384615386,Honda,Jazz V
Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,600000.0,12,7250.0,Maruti,Ertiga VDI
Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,1773999.9999999998,11,3697.2727272727275,Audi,A4 New 2.0 TDI Multitronic
Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,235000.0,12,6250.0,Hyundai,EON LPG Era Plus Option
Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,350000.0,11,7909.0,Nissan,Micra Diesel XV
Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,1750000.0,8,4500.0,Toyota,Innova Crysta 2.8 GX AT 8S
Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,520000.0,11,5857.272727272727,Volkswagen,Vento Diesel Comfortline
Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,195000.0,12,5494.333333333333,Tata,Indica Vista Quadrajet LS
Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,994999.9999999999,6,4282.0,Maruti,Ciaz Zeta
Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,449000.0,12,5000.0,Honda,City 1.5 V AT Sunroof
Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,560000.0,9,7158.222222222223,Maruti,Swift VDI BSIV
Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,1500000.0,10,11000.0,Mitsubishi,Pajero Sport 4X4
Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,540000.0,8,7368.75,Honda,Amaze S i-Dtech
Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,599000.0,7,3571.4285714285716,Maruti,Swift DDiS VDI
Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,634000.0,10,7746.9,Renault,Duster 85PS Diesel RxL Plus
Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,1855000.0,10,3298.2,BMW,3 Series 320d
Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,825000.0,9,6154.666666666667,Maruti,S Cross DDiS 200 Alpha
Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,187000.0,14,3271.9285714285716,Hyundai,i20 1.2 Magna
Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,285000.0,14,2357.1428571428573,Volkswagen,Vento Petrol Highline AT
Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,425000.0,12,4326.666666666667,Honda,City Corporate Edition
Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,425000.0,12,4500.0,Nissan,Micra Diesel XV
Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,275000.0,11,4909.090909090909,Maruti,Alto K10 2010-2014 VXI
Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,990000.0,6,6238.333333333333,Honda,WRV i-VTEC VX
Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,400000.0,17,15411.764705882353,Toyota,Innova 2.5 V Diesel 7-seater
Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,775000.0,11,5636.363636363636,Renault,Duster 110PS Diesel RxZ Pack
Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,675000.0,12,7301.25,Toyota,Corolla Altis G
Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,1250000.0,11,6545.454545454545,Mahindra,Ssangyong Rexton RX7
Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,1150000.0,14,2500.0,Audi,A6 2.7 TDI
Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,698000.0,10,5543.1,Volkswagen,Vento 1.6 Highline
Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,185000.0,15,5587.733333333334,Maruti,Wagon R LXI BSIII
Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,863000.0000000001,6,8345.833333333334,Maruti,Vitara Brezza ZDi Plus
Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,484999.99999999994,7,7428.571428571428,Mahindra,KUV 100 mFALCON G80 K6 5str AW
Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,500000.0,11,5636.363636363636,Volkswagen,Polo Diesel Trendline 1.2L
Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,125000.0,16,5625.0,Maruti,Alto LXi
